date,open,high,low,close,median,price_change
2017-01-01,963.02,1005.75,962.8,1005.73,997.625,up
2017-01-02,1005.48,1032.0,990.01,1023.57,1014.92,up
2017-01-03,1023.59,1046.0,1009.08,1042.64,1020.29,up
2017-01-04,1042.34,1139.89,1038.35,1118.05,1090.98,up
2017-01-05,1118.05,1136.72,885.41,970.1,983.5,down
2017-01-06,969.92,989.97,821.22,836.74,894.86,down
2017-01-07,837.48,938.0,812.28,937.05,885.01,up
2017-01-08,938.0,941.81,875.0,884.65,908.34,down
2017-01-09,885.01,910.58,879.94,895.62,894.25,up
2017-01-10,895.48,912.47,889.41,908.85,904.33,up
2017-01-11,908.85,918.4,755.0,764.07,805.99,down
2017-01-12,763.48,832.99,751.34,788.67,782.0,up
2017-01-13,788.82,837.76,775.0,822.12,798.92,up
2017-01-14,823.62,837.01,810.0,819.64,822.005,down
2017-01-15,819.09,835.0,808.0,827.15,816.98,up
2017-01-16,827.16,858.89,819.0,855.31,829.87,up
2017-01-17,854.22,915.99,853.38,900.08,885.86,up
2017-01-18,900.08,900.74,851.74,881.0,881.75,down
2017-01-19,880.92,910.0,880.9,890.05,895.65,up
2017-01-20,890.06,925.0,880.0,922.79,893.01,up
2017-01-21,922.65,936.0,912.5,934.51,922.35,up
2017-01-22,934.5,937.74,886.76,919.54,914.3,down
2017-01-23,919.54,927.57,892.04,919.2,918.99,down
2017-01-24,919.2,920.88,881.48,892.52,902.04,down
2017-01-25,893.27,900.96,885.01,897.19,893.85,up
2017-01-26,898.07,919.49,892.86,912.33,913.0,up
2017-01-27,912.33,924.88,908.01,920.05,918.38,up
2017-01-28,920.0,920.1,913.08,919.14,917.47,down
2017-01-29,919.13,919.99,910.0,916.48,914.25,down
2017-01-30,917.18,923.0,912.9,918.21,919.9,up
2017-01-31,918.2,976.31,918.2,968.17,954.08,up
2017-02-01,968.17,990.0,962.0,980.0,973.0,up
2017-02-02,980.0,1019.77,978.98,1018.69,1000.0,up
2017-02-03,1018.69,1022.64,987.01,1008.94,1011.36,down
2017-02-04,1009.08,1044.23,1004.0,1025.0,1027.0,up
2017-02-05,1025.07,1030.0,1004.7,1016.35,1014.7,down
2017-02-06,1016.35,1036.0,1005.1,1036.0,1023.0,up
2017-02-07,1035.03,1070.0,1032.36,1067.3,1049.0,up
2017-02-08,1067.25,1074.69,1025.0,1071.58,1053.08,up
2017-02-09,1071.54,1073.93,913.73,979.82,980.935,down
2017-02-10,979.82,1010.68,950.0,1003.82,975.0,up
2017-02-11,1003.83,1020.0,999.27,1003.06,1009.45,down
2017-02-12,1003.05,1010.99,991.98,1006.54,1001.0,up
2017-02-13,1006.57,1007.54,975.1,992.43,996.0,down
2017-02-14,991.82,1019.0,987.97,1009.31,1008.99,up
2017-02-15,1009.33,1030.0,1000.97,1021.18,1010.1,up
2017-02-16,1021.28,1043.21,1018.0,1036.07,1033.45,up
2017-02-17,1036.89,1068.24,1032.26,1065.72,1056.02,up
2017-02-18,1066.01,1068.99,1046.14,1054.68,1061.0,down
2017-02-19,1056.06,1061.9,1039.07,1047.94,1050.48,down
2017-02-20,1047.67,1089.99,1046.99,1081.81,1062.36,up
2017-02-21,1081.43,1127.0,1079.11,1111.75,1112.99,up
2017-02-22,1111.75,1143.0,1098.16,1128.67,1129.73,up
2017-02-23,1127.58,1220.0,1127.53,1203.79,1161.87,up
2017-02-24,1205.04,1216.02,1091.1,1181.0,1177.9,down
2017-02-25,1180.97,1184.73,1127.0,1150.15,1152.6750000000002,down
2017-02-26,1151.16,1193.32,1150.34,1185.0,1176.03,up
2017-02-27,1182.59,1209.99,1169.0,1195.0,1191.78,up
2017-02-28,1195.56,1200.0,1179.0,1193.8,1191.7849999999999,down
2017-03-01,1192.06,1231.0,1188.3,1221.91,1220.05,up
2017-03-02,1221.91,1283.25,1218.96,1261.0,1251.74,up
2017-03-03,1260.01,1298.0,1255.0,1280.0,1277.49,up
2017-03-04,1280.32,1284.74,1230.0,1250.74,1258.69,down
2017-03-05,1250.74,1275.0,1240.0,1262.35,1265.69,up
2017-03-06,1261.5,1285.0,1260.0,1263.22,1278.625,up
2017-03-07,1266.26,1276.0,1175.97,1196.91,1238.5,down
2017-03-08,1197.5,1229.19,1135.01,1145.05,1181.93,down
2017-03-09,1145.34,1208.0,1145.0,1198.49,1191.06,up
2017-03-10,1198.49,1350.0,975.0,1142.53,1192.77,down
2017-03-11,1142.53,1198.0,1140.01,1181.34,1178.49,up
2017-03-12,1181.36,1241.85,1170.9,1236.0,1221.64,up
2017-03-13,1233.55,1250.0,1215.43,1240.0,1239.48,up
2017-03-14,1241.31,1260.0,1226.5,1246.09,1246.91,up
2017-03-15,1246.14,1260.0,1238.32,1248.59,1252.76,up
2017-03-16,1248.58,1250.71,1101.0,1123.65,1187.975,down
2017-03-17,1123.51,1165.91,1056.32,1060.14,1115.19,down
2017-03-18,1060.0,1098.98,944.36,998.93,996.25,down
2017-03-19,995.3,1063.7,973.0,1034.28,1017.84,up
2017-03-20,1034.28,1063.0,1010.01,1063.0,1044.28,up
2017-03-21,1061.51,1117.9,1060.0,1093.96,1093.91,up
2017-03-22,1093.96,1099.72,988.0,1034.98,1033.395,down
2017-03-23,1034.98,1054.4,1009.5,1012.99,1033.98,down
2017-03-24,1010.33,1023.0,915.0,919.75,975.1,down
2017-03-25,919.75,963.36,891.33,955.01,918.32,up
2017-03-26,955.32,997.0,937.52,965.06,967.7,up
2017-03-27,965.05,1043.0,961.19,1032.34,1021.51,up
2017-03-28,1032.38,1068.26,1008.16,1010.8,1045.41,down
2017-03-29,1009.59,1059.43,1008.2,1034.67,1037.5,up
2017-03-30,1031.89,1046.0,1017.14,1043.0,1032.58,up
2017-03-31,1043.31,1081.0,1035.0,1069.15,1056.0,up
2017-04-01,1069.15,1097.0,1061.64,1074.77,1075.35,up
2017-04-02,1074.77,1120.5,1066.49,1120.5,1082.23,up
2017-04-03,1120.44,1152.0,1108.01,1145.8,1133.14,up
2017-04-04,1145.79,1162.93,1118.85,1139.79,1140.4,down
2017-04-05,1140.33,1154.39,1111.0,1154.25,1127.56,up
2017-04-06,1153.21,1201.37,1150.0,1177.25,1173.835,up
2017-04-07,1177.43,1202.0,1176.0,1197.03,1189.73,up
2017-04-08,1196.99,1196.99,1166.66,1186.04,1187.4,down
2017-04-09,1186.12,1216.87,1173.98,1212.29,1205.68,up
2017-04-10,1212.29,1219.71,1195.0,1203.86,1208.97,down
2017-04-11,1203.86,1229.0,1198.02,1222.01,1219.29,up
2017-04-12,1222.02,1224.2,1208.0,1213.8,1215.935,down
2017-04-13,1212.2,1217.17,1141.0,1184.04,1177.0,down
2017-04-14,1183.44,1193.0,1142.0,1174.35,1168.67,down
2017-04-15,1174.42,1192.5,1165.0,1175.48,1178.95,up
2017-04-16,1175.48,1179.3,1150.0,1166.52,1167.34,down
2017-04-17,1166.46,1196.08,1161.0,1192.65,1179.99,up
2017-04-18,1192.36,1210.0,1192.3,1204.98,1204.34,up
2017-04-19,1204.98,1209.6,1190.0,1207.08,1201.6,up
2017-04-20,1206.23,1243.88,1205.08,1235.64,1227.22,up
2017-04-21,1235.77,1252.32,1233.0,1241.45,1242.56,up
2017-04-22,1240.53,1247.15,1199.0,1224.67,1233.48,down
2017-04-23,1225.61,1248.99,1223.8,1236.04,1237.43,up
2017-04-24,1234.84,1255.0,1234.81,1255.0,1246.88,up
2017-04-25,1254.99,1280.0,1251.8,1273.88,1270.23,up
2017-04-26,1274.98,1330.0,1273.37,1295.63,1291.05,up
2017-04-27,1295.63,1347.02,1293.0,1333.45,1326.25,up
2017-04-28,1335.67,1347.02,1299.0,1328.29,1324.1950000000002,down
2017-04-29,1328.87,1342.8,1316.0,1324.5,1329.98,down
2017-04-30,1324.5,1364.0,1315.68,1361.13,1334.49,up
2017-05-01,1361.13,1425.0,1345.0,1414.04,1389.46,up
2017-05-02,1413.34,1481.73,1403.0,1457.12,1447.95,up
2017-05-03,1456.46,1518.87,1431.02,1504.73,1478.1,up
2017-05-04,1503.78,1623.01,1444.94,1560.96,1549.76,up
2017-05-05,1560.96,1609.0,1495.0,1535.21,1551.0,down
2017-05-06,1533.26,1578.97,1505.0,1557.42,1547.1550000000002,up
2017-05-07,1555.56,1589.0,1525.0,1570.12,1538.995,up
2017-05-08,1569.06,1670.0,1560.0,1658.69,1585.085,up
2017-05-09,1658.34,1760.4,1645.74,1696.12,1718.93,up
2017-05-10,1696.12,1794.21,1682.0,1769.11,1760.84,up
2017-05-11,1769.11,1892.0,1763.0,1795.6,1835.2150000000001,up
2017-05-12,1796.17,1826.0,1601.46,1642.22,1727.4,down
2017-05-13,1643.74,1796.0,1627.36,1775.68,1719.58,up
2017-05-14,1781.32,1815.0,1750.5,1750.5,1778.44,down
2017-05-15,1750.5,1760.0,1662.0,1667.43,1716.33,down
2017-05-16,1667.42,1750.0,1641.22,1709.32,1715.01,up
2017-05-17,1709.27,1840.42,1704.88,1768.12,1795.32,up
2017-05-18,1768.11,1910.0,1766.33,1898.68,1855.99,up
2017-05-19,1898.72,1986.64,1895.35,1971.23,1939.99,up
2017-05-20,1976.38,2045.0,1914.0,2045.0,1975.0,up
2017-05-21,2045.0,2063.11,1961.52,2050.0,2022.0,up
2017-05-22,2050.0,2230.34,2001.0,2154.8,2123.99,up
2017-05-23,2154.99,2315.27,2125.37,2309.57,2221.83,up
2017-05-24,2307.93,2575.0,2286.67,2560.33,2405.19,up
2017-05-25,2565.0,2760.1,2221.0,2340.01,2497.0,down
2017-05-26,2340.01,2599.12,2060.0,2252.72,2338.45,down
2017-05-27,2252.72,2252.72,1850.0,2210.0,2062.855,down
2017-05-28,2208.97,2313.96,2081.0,2179.08,2181.65,down
2017-05-29,2175.93,2350.0,2126.05,2306.34,2260.98,up
2017-05-30,2311.85,2339.08,2154.28,2170.86,2253.62,down
2017-05-31,2170.82,2379.0,2161.02,2368.12,2291.02,up
2017-06-01,2368.1,2456.39,2321.05,2440.42,2399.13,up
2017-06-02,2443.64,2496.0,2370.03,2461.79,2434.55,up
2017-06-03,2461.05,2584.34,2445.0,2513.91,2524.275,up
2017-06-04,2512.94,2588.66,2460.0,2583.67,2530.0,up
2017-06-05,2584.11,2877.47,2558.23,2811.6,2649.7,up
2017-06-06,2811.68,2933.0,2689.4,2859.41,2849.455,up
2017-06-07,2857.62,2878.03,2612.5,2728.76,2783.97,down
2017-06-08,2728.76,2844.0,2700.0,2805.0,2772.0,up
2017-06-09,2805.01,2868.23,2780.43,2830.28,2824.705,up
2017-06-10,2830.49,2912.98,2800.0,2876.0,2875.0,up
2017-06-11,2878.97,2975.0,2865.12,2955.41,2936.66,up
2017-06-12,2955.26,2980.0,2480.03,2677.38,2703.53,down
2017-06-13,2689.31,2783.62,2666.71,2748.17,2724.0,up
2017-06-14,2748.12,2801.0,2320.0,2476.14,2570.0,down
2017-06-15,2474.62,2479.99,2120.0,2378.5,2319.0,down
2017-06-16,2373.14,2540.0,2373.14,2475.29,2463.54,up
2017-06-17,2475.29,2674.4,2467.19,2652.0,2602.04,up
2017-06-18,2653.91,2655.55,2460.62,2558.96,2532.49,down
2017-06-19,2558.8,2653.0,2480.96,2619.24,2570.0,up
2017-06-20,2611.77,2783.0,2581.0,2760.03,2689.125,up
2017-06-21,2760.03,2789.0,2611.0,2660.04,2689.03,down
2017-06-22,2666.03,2740.0,2594.61,2729.73,2699.68,up
2017-06-23,2729.74,2745.0,2657.46,2699.36,2711.9,down
2017-06-24,2699.21,2724.96,2505.25,2541.98,2612.18,down
2017-06-25,2541.98,2635.72,2432.0,2549.22,2534.0150000000003,up
2017-06-26,2549.2,2550.03,2315.01,2443.91,2442.67,down
2017-06-27,2444.94,2567.01,2291.0,2533.19,2394.99,up
2017-06-28,2539.81,2593.0,2468.01,2567.99,2545.35,up
2017-06-29,2567.98,2594.78,2500.31,2535.0,2554.32,down
2017-06-30,2535.0,2564.58,2430.0,2445.57,2516.11,down
2017-07-01,2444.2,2517.11,2374.34,2400.0,2435.0,down
2017-07-02,2397.8,2528.72,2383.3,2489.94,2478.77,up
2017-07-03,2489.89,2628.66,2472.68,2604.75,2555.0,up
2017-07-04,2604.77,2639.47,2545.69,2550.96,2590.0,down
2017-07-05,2551.19,2623.0,2530.1,2607.0,2572.44,up
2017-07-06,2605.01,2614.0,2522.0,2578.01,2589.36,down
2017-07-07,2578.01,2584.25,2462.0,2493.64,2518.11,down
2017-07-08,2493.64,2558.99,2478.05,2558.91,2525.0,up
2017-07-09,2558.97,2564.65,2490.66,2502.74,2531.99,down
2017-07-10,2502.91,2527.88,2261.85,2314.0,2398.22,down
2017-07-11,2313.25,2399.0,2239.54,2273.47,2335.22,down
2017-07-12,2271.09,2425.16,2267.0,2415.75,2370.0,up
2017-07-13,2415.75,2419.2,2307.46,2319.0,2349.99,down
2017-07-14,2319.0,2357.84,2075.0,2094.17,2205.0,down
2017-07-15,2094.15,2135.54,1947.0,2018.96,2040.0,down
2017-07-16,2013.81,2030.15,1830.0,1961.26,1918.88,down
2017-07-17,1961.26,2229.97,1956.91,2182.99,2122.0,up
2017-07-18,2179.07,2392.0,2170.12,2347.97,2301.89,up
2017-07-19,2347.97,2402.5,2223.0,2324.99,2305.45,down
2017-07-20,2324.99,2938.0,2303.2,2718.61,2645.0,up
2017-07-21,2718.61,2801.0,2611.39,2710.29,2718.9,down
2017-07-22,2710.14,2882.0,2697.99,2821.31,2811.41,up
2017-07-23,2821.12,2830.0,2640.0,2760.8,2757.255,down
2017-07-24,2760.7,2800.0,2701.0,2751.0,2754.995,down
2017-07-25,2750.85,2772.89,2450.0,2513.6,2565.0,down
2017-07-26,2512.11,2557.98,2400.0,2546.91,2488.01,up
2017-07-27,2541.81,2731.72,2526.11,2681.49,2577.38,up
2017-07-28,2682.46,2825.0,2655.82,2705.0,2759.0,up
2017-07-29,2701.8,2775.0,2631.78,2679.72,2701.28,down
2017-07-30,2666.17,2774.45,2569.69,2710.11,2700.035,up
2017-07-31,2709.0,2889.99,2680.01,2862.93,2775.98,up
2017-08-01,2862.92,2929.17,2615.0,2734.76,2727.84,down
2017-08-02,2742.1,2760.0,2650.0,2720.1,2707.44,down
2017-08-03,2718.05,2807.44,2706.21,2786.43,2759.9,up
2017-08-04,2784.8,3158.35,2765.91,3109.0,2854.05,up
2017-08-05,3101.0,3339.66,3088.02,3222.2,3212.0,up
2017-08-06,3222.04,3294.35,3146.1,3247.41,3225.69,up
2017-08-07,3245.01,3446.02,3216.99,3445.49,3363.21,up
2017-08-08,3446.0,3490.0,3300.0,3384.67,3420.0,down
2017-08-09,3384.6,3415.0,3178.72,3327.59,3319.07,down
2017-08-10,3327.71,3448.0,3316.74,3419.93,3410.0,up
2017-08-11,3419.93,3705.0,3410.78,3662.51,3529.955,up
2017-08-12,3660.16,4094.0,3635.18,4027.7,3818.42,up
2017-08-13,4027.83,4190.0,3841.71,3976.06,4029.67,down
2017-08-14,3976.06,4400.0,3967.65,4380.11,4252.795,up
2017-08-15,4374.14,4390.0,3800.0,4069.46,4070.0,down
2017-08-16,4065.07,4385.0,3926.06,4279.35,4264.95,up
2017-08-17,4279.35,4480.0,4167.21,4258.92,4313.99,down
2017-08-18,4263.11,4368.0,3964.96,4103.49,4172.67,down
2017-08-19,4103.48,4130.0,3900.0,4032.66,4020.26,down
2017-08-20,4032.63,4125.95,4000.0,4039.12,4059.89,up
2017-08-21,4031.66,4080.0,3810.25,3835.1,3996.05,down
2017-08-22,3840.07,4139.97,3600.0,4095.61,3917.0,up
2017-08-23,4078.99,4248.97,4055.0,4091.88,4135.66,up
2017-08-24,4099.94,4373.84,4082.59,4334.38,4211.43,up
2017-08-25,4334.38,4449.98,4252.77,4302.01,4349.22,down
2017-08-26,4312.63,4393.3,4232.43,4338.38,4309.0,up
2017-08-27,4338.46,4365.96,4275.0,4280.01,4333.38,down
2017-08-28,4286.13,4399.72,4169.01,4380.02,4318.63,up
2017-08-29,4385.77,4649.78,4336.26,4596.75,4562.9349999999995,up
2017-08-30,4597.91,4642.22,4479.0,4615.19,4569.41,up
2017-08-31,4615.1,4777.76,4589.53,4745.6,4724.32,up
2017-09-01,4745.97,4979.9,4671.09,4831.01,4831.74,up
2017-09-02,4836.54,4879.88,4488.5,4639.42,4626.11,down
2017-09-03,4623.62,4700.0,4385.0,4547.87,4542.389999999999,down
2017-09-04,4542.52,4542.52,4001.93,4102.85,4270.0,down
2017-09-05,4109.96,4498.84,4001.93,4471.45,4300.0,up
2017-09-06,4478.89,4649.23,4356.42,4515.97,4544.56,up
2017-09-07,4515.86,4674.34,4475.0,4612.87,4601.945,up
2017-09-08,4612.87,4679.97,4125.99,4266.99,4336.0,down
2017-09-09,4267.0,4379.78,4176.0,4204.0,4293.47,down
2017-09-10,4192.51,4353.49,4010.0,4315.95,4144.09,up
2017-09-11,4316.3,4316.3,4092.4,4270.87,4200.73,down
